Movie Title	|	Genre	|	Year
Бамблбі	|	Бойовики	|	2018
Чесне розлучення	|	Комедії	|	2021
Очі Змії: Початок Джі.Ай.Джо	|	Бойовики	|	2021
Хороший, поганий, коп	|	Бойовики	|	2021
Бестселер	|	Комедії	|	2021
Погані домогосподарки	|	Комедії	|	2021
Тихе місце 2	|	Трилери	|	2020
Демонік	|	Жахи	|	2021
У пастці	|	Трилери	|	2021
Хижаки	|	Бойовики	|	2021
Пташка у клітці	|	Трилери	|	2020
Янгол помсти	|	Бойовики	|	2021
Стілвотер	|	Трилери	|	2021
Усі Святі Ньюарка	|	Кримінал	|	2021
Фукусіма	|	Драми	|	2020
007: Не час помирати	|	Бойовики	|	2021
Шан-Чі та легенда десяти кілець	|	Бойовики	|	2021
Хелловін убиває	|	Трилери	|	2021
Чоловічі сльози	|	Трилери	|	2021
Смертельний лабіринт 2: Небезпека всюди	|	Бойовики	|	2021
Як живий	|	Трилери	|	2019
Веном 2: Карнаж	|	Бойовики	|	2021
Нулі та одиниці	|	Бойовики	|	2021
Прокляття Ебігейл	|	Жахи	|	2021
Сам удома	|	Комедії	|	1990
Сам удома 2: Загублений у Нью-Йорку	|	Комедії	|	1992
Реальне кохання	|	Комедії	|	2003
Комета Галлея	|	Комедії	|	2020
З новим роком, мами!	|	Комедії	|	2012
Забійний вогник	|	Комедії	|	2015
Доброта незнайомців	|	Драми	|	2019
Грінч – викрадач Різдва	|	Сімейні	|	2000
Ялинки Останні	|	Комедії	|	2018
Карнавальна ніч	|	Комедії	|	1956
Іронія долі, або З легкою парою!	|	Комедії	|	1975
Міцний горішок	|	Бойовики	|	1988
Затока тиші	|	Трилери	|	2020
Смертельні ілюзії	|	Трилери	|	2020
Нічний портьє	|	Кримінал	|	2020
Колишня з того світу	|	Комедії	|	2020
Небезпечний елемент	|	Мелодрами	|	2020
Мій пес Ідіот	|	Комедії	|	2020
Власники	|	Бойовики	|	2020
Афера століття	|	Комедії	|	2020
Ми закликаємо темряву	|	Трилери	|	2020
Дублерка	|	Комедії	|	2020
Викрасти і продати	|	Бойовики	|	2020
Білл і Тед	|	Комедії	|	2020
Сам удома	|	Комедії	|	1990
Гаррі Поттер 20 років по тому: Повернення в Г…	|	Документальні	|	2022
Сам удома 2: Загублений у Нью-Йорку	|	Комедії	|	1992
Іронія долі, або З легкою парою!	|	Комедії	|	1975
Погані домогосподарки	|	Комедії	|	2021
Очі Змії: Початок Джі.Ай.Джо	|	Бойовики	|	2021
Бестселер	|	Комедії	|	2021
Грінч – викрадач Різдва	|	Сімейні	|	2000
Гаррі Поттер і філософський камінь	|	Пригоди	|	2001
Хороший, поганий, коп	|	Бойовики	|	2021
Тілоохоронець дружини кілера	|	Комедії	|	2021
Янгол помсти	|	Бойовики	|	2021
